,CAS1_C0,CAS2_C0,CAS3_C0,LOP1_C0,LOP2_C0,LOP5_C0
CORRUBR2A001093,29031,28982,29324,18371,18088,13716
CORRUBR2A001095,44,205,88,96,68,61
CORRUBR2A001098,51,45,39,35,49,58
CORRUBR2A001100,413,415,207,154,194,214
CORRUBR2A001102,1,29,4,5,6,10
CORRUBR2A001105,9516,13047,13427,6643,7564,6473
CORRUBR2A001106,90,53,61,8,44,96
CORRUBR2A001107,444,282,305,154,293,278
CORRUBR2A001110,4,10,10,15,4,8
CORRUBR2A001111,98,66,59,25,90,55
CORRUBR2A001113,351,401,221,153,242,269
CORRUBR2A001114,296,105,78,102,337,217
CORRUBR2A001116,4,2,1,6,10,1
CORRUBR2A001120,35,27,17,16,26,24
CORRUBR2A001121,1065,971,575,771,792,451
CORRUBR2A001122,803,370,275,363,421,462
CORRUBR2A001124,2000,1003,793,828,985,770
CORRUBR2A001126,42,29,37,43,31,47
CORRUBR2A001127,55,25,36,40,49,38
CORRUBR2A001130,2,0,0,10,0,1
CORRUBR2A001133,660,748,607,466,550,574
CORRUBR2A001135,17,17,25,7,27,18
CORRUBR2A001136,6658,8915,13375,4541,5182,7561
CORRUBR2A001138,199,91,61,89,140,103
CORRUBR2A001140,1152,1030,1168,518,431,512
CORRUBR2A001141,146,157,122,129,121,132
CORRUBR2A001142,70683,89650,73026,41402,37981,41066
CORRUBR2A001144,448,265,169,210,237,258
CORRUBR2A001145,174,138,87,158,150,160
CORRUBR2A001146,2138,2030,1332,1343,1641,1407
CORRUBR2A001149,49,99,53,55,27,66
CORRUBR2A001152,43,237,144,356,22,41
CORRUBR2A001157,927,299,371,276,276,187
CORRUBR2A001158,18,47,25,7,33,79
CORRUBR2A001159,63,41,52,60,96,59
CORRUBR2A001160,1235,909,720,739,1101,908
CORRUBR2A001162,1230,373,190,225,277,315
CORRUBR2A001163,0,0,12,0,13,0
CORRUBR2A001164,13,23,19,15,11,8
CORRUBR2A001165,2,1,0,0,1,0
CORRUBR2A001168,277,111,31,94,90,99
CORRUBR2A001170,17,11,11,8,12,16
CORRUBR2A001172,103,59,95,93,92,75
CORRUBR2A001174,4,9,9,8,11,29
CORRUBR2A001175,111,48,22,17,14,36
CORRUBR2A001178,195,248,99,125,207,191
CORRUBR2A001179,326,134,59,137,143,141
CORRUBR2A001180,18,58,7,22,11,8
CORRUBR2A001184,206,138,62,49,57,155
CORRUBR2A001186,47,327,39,79,96,13
CORRUBR2A001187,1252,460,699,978,1179,994
CORRUBR2A001188,1834,736,931,739,980,830
CORRUBR2A001191,0,0,0,9,13,11
CORRUBR2A001192,310,150,154,228,174,204
CORRUBR2A001194,8,11,0,0,0,0
CORRUBR2A001195,265,324,1423,275,385,337
CORRUBR2A001197,409,163,170,206,309,147
CORRUBR2A001200,1769,2032,2146,1096,1021,1190
CORRUBR2A001201,37,22,24,11,11,13
CORRUBR2A001204,2559,2110,2250,1289,1378,1967
CORRUBR2A001207,629,379,261,280,425,313
CORRUBR2A001210,6913,26439,9426,13259,29826,11724
CORRUBR2A001211,110,123,36,51,26,32
CORRUBR2A001214,472,938,705,466,488,405
